medication,brand,class,diagnoses,addiction,adhd,agitation,anxiety,bipolar,depression,eating,insomnia,mania,movement,brain,psychosis,weight,sedation,hep1,hep2,hep3,hep4,ren1,ren2,ren3,ren4
acamprosate,Campral,glutamate multi-modal,alcohol abstinence,1,0,0,0,0,0,0,0,0,0,0,0,unusual,unusual,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,dose adjustment recommended,333 mg three times daily,contraindicated,contraindicated
alprazolam,Xanax,GABA positive allosteric modulator,"GAD, panic disorder",0,0,0,1,0,0,0,0,0,0,0,0,unusual,not unusual,begin with lower starting dose (0.5-0.75 mg/day in 2 or 3 divided doses),begin with lower starting dose (0.5-0.75 mg/day in 2 or 3 divided doses),begin with lower starting dose (0.5-0.75 mg/day in 2 or 3 divided doses),begin with lower starting dose (0.5-0.75 mg/day in 2 or 3 divided doses),use with caution,use with caution,use with caution,use with caution
amitriptyline,Elavil,tricyclic antidepressant,"depression, endogenous depression",0,0,0,0,0,1,0,0,0,0,0,0,common,common,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,dose adjustment may be needed,dose adjustment may be needed,dose adjustment may be needed,dose adjustment may be needed
amoxapine,Ascendin,tricyclic antidepressant,"agitation and anxiety related to depression, endogenous depression, neurotic or reactive depression, psychotic depression",0,0,1,1,0,1,0,0,0,0,0,0,common,common,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose
amphetamine (d),Dexedrine,dopamine norepinephrine reuptake inhibitor and releaser,ADHD,0,1,0,0,0,0,0,0,0,0,0,0,unusual,unusual,Use with caution,Use with caution,Use with caution,Use with caution,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
aripiprazole,Abilify,dopamine serotonin receptor partial agonist,"bipolar disorder, depression(adjunct), mania, schizophrenia",0,0,0,0,1,1,0,0,1,0,0,1,unusual,unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
asensapine,Saphris,dopamine serotonin norepinephrine receptor antagonist,"mania, schizophrenia",0,0,0,0,0,0,0,0,1,0,0,1,not unusual,common,No dose adjustment needed,No dose adjustment needed,Contraindicated,Contraindicated,dose adjustment not generally needed,dose adjustment not generally needed,dose adjustment not generally needed,dose adjustment not generally needed
atomoxetine,Strattera,norepinephrine reuptake inhibitor,ADHD,0,1,0,0,0,0,0,0,0,0,0,0,unusual,not unusual,Use with caution,dose should be reduced to 50% of normal dose,dose should be reduced to 25% of normal dose,dose should be reduced to 25% of normal dose,dose adjustment not generally needed,dose adjustment not generally needed,dose adjustment not generally needed,dose adjustment not generally needed
benztropine,Cogentin,anticholinergic,"EPS, parkinsonism",0,0,0,0,0,0,0,0,0,1,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
brexpiprazole,Rexulti,dopamine partial agonist,"treatment resistant depression (adjunct), schizophrenia",0,0,0,0,0,1,0,0,0,0,0,1,not unusual,not unusual,Use with caution,maximum recommended dose for depression is 2 mg once daily and for schizophrenia is 3 mg once daily,maximum recommended dose for depression is 2 mg once daily and for schizophrenia is 3 mg once daily,maximum recommended dose for depression is 2 mg once daily and for schizophrenia is 3 mg once daily,use with caution,maximum recommended dose for depression is 2 mg once daily and for schizophrenia is 3 mg once daily,maximum recommended dose for depression is 2 mg once daily and for schizophrenia is 3 mg once daily,maximum recommended dose for depression is 2 mg once daily and for schizophrenia is 3 mg once daily
buprenorphine,Suboxone,mu opioid receptor partial agonist,opioid dependence,1,0,0,0,0,0,0,0,0,0,0,0,unusual,common,Use with caution,monitor for signs of toxicity,dose should be reduced  ,dose should be reduced  ,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
buproprion,Wellbutrin,norepinephrine dopamine reuptake inhibitor,"nicotine addiction, MDD, SAD",1,0,0,0,0,1,0,0,0,0,0,0,unusual,unusual,"lower initial dose, perhaps give less frequently","lower initial dose, perhaps give less frequently",bupropion XL should be administered at no more than 150 mg every other day,bupropion XL should be administered at no more than 150 mg every other day,"lower initial dose, perhaps give less frequently","lower initial dose, perhaps give less frequently","lower initial dose, perhaps give less frequently","lower initial dose, perhaps give less frequently"
buspirone,Buspar,serotonin receptor partial agonist,anxiety,0,0,0,1,0,0,0,0,0,0,0,0,unusual,not unusual,Use with caution,Use with caution,Contraindicated,Contraindicated,use with caution,use with caution,contraindicated,contraindicated
caprylidene,Axona,induces hyperketonemia,Alzheimer disease,0,0,0,0,0,0,0,0,0,0,1,0,unusual,unusual,Not studied,Not studied,Not studied,Not studied,not studied,not studied,not studied,not studied
carbamazepine,Tegretol,glutamate voltage-gated calcium channel blocker,mania,0,0,0,0,0,0,0,0,1,0,0,0,not unusual,problematic,rare cases of hepatic failure have occurred,rare cases of hepatic failure have occurred,rare cases of hepatic failure have occurred,rare cases of hepatic failure have occurred,dose may need to be lowered,dose may need to be lowered,dose may need to be lowered,dose may need to be lowered
